category,Bitrate (kb/s),PSNR (dB),VMAF,QP,encode_energy,decode_energy,total_energy,std_bitrate,std_psnr,std_vmaf,std_encode_energy,std_decode_energy,std_total_energy,codec
Animation,980.6666666666666,30.213005,70.780509,60,6989.8544984733335,1653.0212234493335,8642.875721922666,932.6672623300458,3.9073528233074457,15.445740551126192,3272.783601412771,863.8077414459618,3570.069755531713,VP9
TelevisionClip,27727.0,36.53072,99.13439033333333,12,14273.239335986667,1989.227671296,16262.467007282668,22035.686344352125,7.186947984719845,0.531822834400287,5031.124897780718,423.26368120661436,5416.099003169204,VP9
TelevisionClip,21127.0,35.719128000000005,98.33013133333334,18,17438.708201486665,1798.8528465406669,19237.561048027335,17302.274763741327,6.068217528779434,1.2201236525572132,6550.482435906856,370.1601448372939,6896.65922310128,VP9
TelevisionClip,17050.666666666668,35.11687633333333,97.34628433333332,24,16035.661728856669,1529.1441255,17564.80585435667,14272.46585406865,5.253338751318081,1.971456472953492,6162.978479662185,354.5315409832119,6505.228635465372,VP9
TelevisionClip,12268.0,34.26177166666667,95.28539166666667,30,14515.523326973334,1766.8099263993336,16282.333253372666,10497.498209891091,4.132423081447036,3.3053889771214866,6129.189108795658,346.5106010070943,6358.5856248607615,VP9
TelevisionClip,8289.0,33.368782333333336,92.12294933333334,36,14518.872265316668,1743.5742536276666,16262.446518944334,7257.913933539489,3.0420062311786213,4.634445122951715,6071.295177975397,363.49889651220553,6429.393095035177,VP9
TelevisionClip,5120.0,32.446340666666664,87.46300600000001,42,13856.865001643333,2016.9968231303335,15873.861824773667,4538.1941342344535,2.045351646387376,5.9269732074458235,6081.616640599584,380.4867306703984,6454.3306999139595,VP9
TelevisionClip,2885.6666666666665,31.600506,81.32863533333334,48,13231.345308613332,1732.4079241726668,14963.753232786,2526.1201255856554,1.4168968883954343,7.039964241722504,6018.413070181281,282.03056835960945,6296.316365239699,VP9
TelevisionClip,1435.3333333333333,30.829521666666665,73.47004199999999,54,12022.731573849998,1726.2398371326665,13748.971410982665,1195.7999646912338,1.3346843296595965,7.83344330056589,5460.3674301303945,292.60979513375526,5749.7614837772735,VP9
TelevisionClip,633.0,30.061190333333332,63.706943333333335,60,9858.352343403334,1906.0111383993333,11764.363481802668,464.2334183001765,1.6446142483870059,8.44457542161741,4127.686867883153,433.15346181189346,4553.572579239621,VP9
